disc__Ichthyophis_bannanicus__candidate_inx_010	disc__Ichthyophis_bannanicus__candidate_inx_010
disc__Mabuya_desiradae__candidate_inx_012	disc__Mabuya_desiradae__candidate_inx_012
disc__Marmaronetta_angustirostris__candidate_inx_008	disc__Marmaronetta_angustirostris__candidate_inx_008
ref__Mus_musculus__Gja6__Q6S5G4	ref__Mus_musculus__Gja6__Q6S5G4
ref__Mus_musculus__Gja6__Q6S5G4	ref__Rattus_norvegicus__Gja6__P28233
disc__Okamejei_kenojei__candidate_inx_015	disc__Okamejei_kenojei__candidate_inx_015
disc__Potamotrygon_marinae__candidate_inx_008	disc__Potamotrygon_marinae__candidate_inx_008
disc__Potamotrygon_marinae__candidate_inx_023	disc__Potamotrygon_marinae__candidate_inx_023
ref__Sus_scrofa__GJA4__Q29559	ref__Sus_scrofa__GJA4__Q29559
ref__Homo_sapiens__GJA9__P57773	ref__Homo_sapiens__GJA9__P57773
ref__Mus_musculus__Gjb3__P28231	ref__Mus_musculus__Gjb3__P28231
ref__Mus_musculus__Gjb3__P28231	ref__Homo_sapiens__GJB3__O75712
ref__Mus_musculus__Gjb3__P28231	ref__Bos_taurus__GJB3__Q58D78
ref__Mus_musculus__Gjb3__P28231	ref__Rattus_norvegicus__Gjb3__P25305
ref__Bos_taurus__GJA3__P41987	ref__Bos_taurus__GJA3__P41987
ref__Bos_taurus__GJA3__P41987	ref__Ovis_aries__GJA3__Q9TU17
ref__Bos_taurus__GJA3__P41987	ref__Rattus_norvegicus__Gja3__P29414
ref__Bos_taurus__GJA3__P41987	ref__Mus_musculus__Gja3__Q64448
ref__Bos_taurus__GJA3__P41987	ref__Homo_sapiens__GJA3__Q9Y6H8
ref__Ursus_americanus__GJA1__A6XKM2	ref__Ursus_americanus__GJA1__A6XKM2
ref__Ursus_americanus__GJA1__A6XKM2	ref__Bos_taurus__GJA1__P18246
ref__Ursus_americanus__GJA1__A6XKM2	ref__Canis_lupus_familiaris__GJA1__Q6S9C0
ref__Ursus_americanus__GJA1__A6XKM2	ref__Chlorocebus_sabaeus__GJA1__Q6TYA9
ref__Ursus_americanus__GJA1__A6XKM2	ref__Oryctolagus_cuniculus__GJA1__Q6TYA7
ref__Ursus_americanus__GJA1__A6XKM2	ref__Rattus_norvegicus__Gja1__P08050
ref__Ursus_americanus__GJA1__A6XKM2	ref__Erinaceus_europaeus__GJA1__Q6TYA8
ref__Ursus_americanus__GJA1__A6XKM2	ref__Macaca_fascicularis__GJA1__Q4R4S7
ref__Ursus_americanus__GJA1__A6XKM2	ref__Mus_musculus__Gja1__P23242
ref__Ursus_americanus__GJA1__A6XKM2	ref__Homo_sapiens__GJA1__P17302
ref__Ursus_americanus__GJA1__A6XKM2	ref__Sus_scrofa__GJA1__Q29101
ref__Ursus_americanus__GJA1__A6XKM2	ref__Xenopus_laevis__gja1__P16863
ref__Ursus_americanus__GJA1__A6XKM2	ref__Danio_rerio__gja1__O57474
ref__Ursus_americanus__GJA1__A6XKM2	ref__Gallus_gallus__GJA1__P14154
ref__Mus_musculus__Gjb6__P70689	ref__Mus_musculus__Gjb6__P70689
ref__Mus_musculus__Gjb6__P70689	ref__Homo_sapiens__GJB2__P29033
ref__Mus_musculus__Gjb6__P70689	ref__Bos_taurus__GJB2__A2VE67
ref__Mus_musculus__Gjb6__P70689	ref__Homo_sapiens__GJB6__O95452
ref__Mus_musculus__Gjb6__P70689	ref__Ovis_aries__GJB2__P46691
ref__Mus_musculus__Gjb6__P70689	ref__Pongo_pygmaeus__GJB2__Q8MIT9
ref__Mus_musculus__Gjb6__P70689	ref__Hylobates_moloch__GJB2__Q7JGL3
ref__Mus_musculus__Gjb6__P70689	ref__Macaca_mulatta__GJB2__Q8MIT8
ref__Mus_musculus__Gjb6__P70689	ref__Gallus_gallus__GJB6__O93533
ref__Mus_musculus__Gjb6__P70689	ref__Rattus_norvegicus__Gjb2__P21994
ref__Mus_musculus__Gjb6__P70689	ref__Gorilla_gorilla_gorilla__GJB2__Q8MHW5
ref__Mus_musculus__Gjb6__P70689	ref__Mus_musculus__Gjb2__Q00977
ref__Xenopus_laevis__gja2__P16864	ref__Xenopus_laevis__gja2__P16864
ref__Bos_taurus__GJB1__O18968	ref__Bos_taurus__GJB1__O18968
ref__Bos_taurus__GJB1__O18968	ref__Homo_sapiens__GJB1__P08034
ref__Bos_taurus__GJB1__O18968	ref__Xenopus_laevis__gjb1__P08983
ref__Bos_taurus__GJB1__O18968	ref__Equus_caballus__GJB1__Q6WGK6
ref__Bos_taurus__GJB1__O18968	ref__Macaca_fascicularis__GJB1__Q60HF7
ref__Bos_taurus__GJB1__O18968	ref__Rattus_norvegicus__Gjb1__P08033
ref__Bos_taurus__GJB1__O18968	ref__Mus_musculus__Gjb1__P28230
ref__Homo_sapiens__GJB5__O95377	ref__Homo_sapiens__GJB5__O95377
ref__Homo_sapiens__GJB5__O95377	ref__Rattus_norvegicus__Gjb4__P36380
ref__Homo_sapiens__GJB5__O95377	ref__Mus_musculus__Gjb4__Q02738
ref__Homo_sapiens__GJB5__O95377	ref__Homo_sapiens__GJB4__Q9NTQ9
ref__Homo_sapiens__GJB5__O95377	ref__Rattus_norvegicus__Gjb5__P28232
ref__Homo_sapiens__GJB5__O95377	ref__Mus_musculus__Gjb5__Q02739
ref__Mus_musculus__Gjc3__Q921C1	ref__Mus_musculus__Gjc3__Q921C1
ref__Mus_musculus__Gjc3__Q921C1	ref__Homo_sapiens__GJC3__Q8NFK1
ref__Xenopus_tropicalis__gja4__Q0V990	ref__Xenopus_tropicalis__gja4__Q0V990
ref__Xenopus_tropicalis__gja4__Q0V990	ref__Xenopus_laevis__gja4__P51914
ref__Homo_sapiens__GJB7__Q6PEY0	ref__Homo_sapiens__GJB7__Q6PEY0
disc__Antrozous_pallidus__candidate_inx_017	disc__Antrozous_pallidus__candidate_inx_017
ref__Mus_musculus__Gjd3__Q91YD1	ref__Mus_musculus__Gjd3__Q91YD1
ref__Mus_musculus__Gjd3__Q91YD1	ref__Homo_sapiens__GJD3__Q8N144
disc__Bombina_variegata__candidate_inx_028	disc__Bombina_variegata__candidate_inx_028
ref__Homo_sapiens__GJC2__Q5T442	ref__Homo_sapiens__GJC2__Q5T442
ref__Homo_sapiens__GJC2__Q5T442	ref__Rattus_norvegicus__Gjc2__Q80XF7
ref__Homo_sapiens__GJC2__Q5T442	ref__Mus_musculus__Gjc2__Q8BQU6
ref__Mus_musculus__Gjd4__Q8BSD4	ref__Mus_musculus__Gjd4__Q8BSD4
disc__Butorides_sundevalli__candidate_inx_017	disc__Butorides_sundevalli__candidate_inx_017
disc__Desmognathus_fuscus__candidate_inx_009	disc__Desmognathus_fuscus__candidate_inx_009
disc__Desmognathus_fuscus__candidate_inx_038	disc__Desmognathus_fuscus__candidate_inx_038
disc__Desmognathus_fuscus__candidate_inx_125	disc__Desmognathus_fuscus__candidate_inx_125
disc__Desmognathus_fuscus__candidate_inx_094	disc__Desmognathus_fuscus__candidate_inx_094
ref__Danio_rerio__cx32.2__Q7T047	ref__Danio_rerio__cx32.2__Q7T047
ref__Homo_sapiens__GJE1__A6NN92	ref__Homo_sapiens__GJE1__A6NN92
ref__Homo_sapiens__GJE1__A6NN92	ref__Mus_musculus__Gje1__Q9CX92
ref__Homo_sapiens__GJE1__A6NN92	ref__Danio_rerio__cx23__U3JA75
disc__Desmognathus_fuscus__candidate_inx_173	disc__Desmognathus_fuscus__candidate_inx_173
ref__Homo_sapiens__RIC1__Q4ADV7	ref__Homo_sapiens__RIC1__Q4ADV7
disc__Desmognathus_fuscus__candidate_inx_184	disc__Desmognathus_fuscus__candidate_inx_184
ref__Danio_rerio__gjc1__Q92052	ref__Danio_rerio__gjc1__Q92052
disc__Desmognathus_fuscus__candidate_inx_241	disc__Desmognathus_fuscus__candidate_inx_241
ref__Leucoraja_erinaceus__P69998__P69998	ref__Leucoraja_erinaceus__P69998__P69998
ref__Leucoraja_erinaceus__P69998__P69998	ref__Bos_taurus__GJD2__Q866T7
ref__Leucoraja_erinaceus__P69998__P69998	ref__Mus_musculus__Gjd2__O54851
ref__Leucoraja_erinaceus__P69998__P69998	ref__Homo_sapiens__GJD2__Q9UKL4
ref__Leucoraja_erinaceus__P69998__P69998	ref__Rattus_norvegicus__Gjd2__O70610
disc__Desmognathus_fuscus__candidate_inx_050	disc__Desmognathus_fuscus__candidate_inx_050
ref__Rattus_norvegicus__Gja4__Q03190	ref__Rattus_norvegicus__Gja4__Q03190
ref__Rattus_norvegicus__Gja4__Q03190	ref__Bos_taurus__GJA4__A4IFL1
ref__Rattus_norvegicus__Gja4__Q03190	ref__Mus_musculus__Gja4__P28235
ref__Rattus_norvegicus__Gja4__Q03190	ref__Homo_sapiens__GJA4__P35212
disc__Dumetella_carolinensis__candidate_inx_013	disc__Dumetella_carolinensis__candidate_inx_013
disc__Hucho_bleekeri__candidate_inx_004	disc__Hucho_bleekeri__candidate_inx_004
ref__Gallus_gallus__GJA3__P29415	ref__Gallus_gallus__GJA3__P29415
ref__Macaca_fascicularis__GJD4__Q9N0B3	ref__Macaca_fascicularis__GJD4__Q9N0B3
ref__Macaca_fascicularis__GJD4__Q9N0B3	ref__Homo_sapiens__GJD4__Q96KN9
disc__Eleutherodactylus_marnockii__candidate_inx_009	disc__Eleutherodactylus_marnockii__candidate_inx_009
ref__Gallus_gallus__GJA5__P18860	ref__Gallus_gallus__GJA5__P18860
ref__Gallus_gallus__GJA5__P18860	ref__Rattus_norvegicus__Gja5__P28234
ref__Gallus_gallus__GJA5__P18860	ref__Mus_musculus__Gja5__Q01231
ref__Gallus_gallus__GJA5__P18860	ref__Homo_sapiens__GJA5__P36382
ref__Gallus_gallus__GJA5__P18860	ref__Bos_taurus__GJA5__Q0VCR2
ref__Gallus_gallus__GJA5__P18860	ref__Canis_lupus_familiaris__GJA5__P33725
disc__Fejervarya_limnocharis__candidate_inx_003	disc__Fejervarya_limnocharis__candidate_inx_003
ref__Gallus_gallus__GJA8__P36381	ref__Gallus_gallus__GJA8__P36381
ref__Gallus_gallus__GJA8__P36381	ref__Rattus_norvegicus__Gja8__Q8K4Q9
ref__Gallus_gallus__GJA8__P36381	ref__Ovis_aries__GJA8__P55917
ref__Gallus_gallus__GJA8__P36381	ref__Mus_musculus__Gja8__P28236
ref__Gallus_gallus__GJA8__P36381	ref__Homo_sapiens__GJA8__P48165
disc__Fejervarya_limnocharis__candidate_inx_020	disc__Fejervarya_limnocharis__candidate_inx_020
ref__Mus_musculus__Gja10__Q9WUS4	ref__Mus_musculus__Gja10__Q9WUS4
ref__Mus_musculus__Gja10__Q9WUS4	ref__Homo_sapiens__GJA10__Q969M2
disc__Gastrophryne_carolinensis__candidate_inx_002	disc__Gastrophryne_carolinensis__candidate_inx_002
ref__Gallus_gallus__GJC1__P18861	ref__Gallus_gallus__GJC1__P18861
ref__Gallus_gallus__GJC1__P18861	ref__Mus_musculus__Gjc1__P28229
ref__Gallus_gallus__GJC1__P18861	ref__Sus_scrofa__GJC1__A4GVD1
ref__Gallus_gallus__GJC1__P18861	ref__Homo_sapiens__GJC1__P36383
ref__Gallus_gallus__GJC1__P18861	ref__Canis_lupus_familiaris__GJC1__P28228
ref__Gallus_gallus__GJC1__P18861	ref__Cricetulus_griseus__GJC1__Q6R4A8
ref__Gallus_gallus__GJC1__P18861	ref__Mesocricetus_auratus__GJC1__Q6PYT3
ref__Gallus_gallus__GJC1__P18861	ref__Rattus_norvegicus__Gjc1__A4GG66
disc__Gastrophryne_carolinensis__candidate_inx_029	disc__Gastrophryne_carolinensis__candidate_inx_029
